mission,date,date_time,latitude,longitude,sample_type,snow_thickness,sample_thickness_cm_average,sample_thickness_cm_sd,pi
ice_camp_2015,2015-04-28,2015-04-28T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,112.333333333333,0.577350269189626,"Galindo, V."
ice_camp_2015,2015-04-30,2015-04-30T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,124,1.73205080756888,"Galindo, V."
ice_camp_2015,2015-05-02,2015-05-02T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,126,0,"Galindo, V."
ice_camp_2015,2015-05-04,2015-05-04T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,119.666666666667,0.5,"Galindo, V."
ice_camp_2015,2015-05-06,2015-05-06T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,128.333333333333,0,"Galindo, V."
ice_camp_2015,2015-05-08,2015-05-08T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,113.333333333333,0.577350269189626,"Galindo, V."
ice_camp_2015,2015-05-12,2015-05-12T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,117.25,0.577350269189626,"Galindo, V."
ice_camp_2015,2015-05-14,2015-05-14T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,109.666666666667,1.15470053837925,"Galindo, V."
ice_camp_2015,2015-05-16,2015-05-16T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,114.8,1.51657508881031,"Galindo, V."
ice_camp_2015,2015-05-18,2015-05-18T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,112.333333333333,0.5,"Galindo, V."
ice_camp_2015,2015-05-20,2015-05-20T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,119.75,1.25830573921179,"Galindo, V."
ice_camp_2015,2015-05-22,2015-05-22T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,102.25,1.15470053837925,"Galindo, V."
ice_camp_2015,2015-05-25,2015-05-25T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,115,0,"Galindo, V."
ice_camp_2015,2015-05-27,2015-05-27T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,123.5,1.10867789130417,"Galindo, V."
ice_camp_2015,2015-05-29,2015-05-29T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,120,0.288675134594813,"Galindo, V."
ice_camp_2015,2015-05-31,2015-05-31T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,115,0.478713553878169,"Galindo, V."
ice_camp_2015,2015-06-02,2015-06-02T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,131.5,0.853912563829966,"Galindo, V."
ice_camp_2015,2015-06-04,2015-06-04T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,111.666666666667,1.73205080756888,"Galindo, V."
ice_camp_2015,2015-06-06,2015-06-06T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,120.666666666667,1,"Galindo, V."
ice_camp_2015,2015-06-08,2015-06-08T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,107,1,"Galindo, V."
